rsid	chrom	pos	symbol	gene_description	disease_names	rev_stat	sig	clinvar_id	source	text
rs327519	chr7	127610662	PAX4	This gene is a member of the paired box (PAX) family of transcription factors. Members of this gene family typically contain a paired box domain, an octapeptide, and a paired-type homeodomain. These genes play critical roles during fetal development and cancer growth. The paired box 4 gene is involved in pancreatic islet development and mouse studies have demonstrated a role for this gene in differentiation of insulin-producing beta cells. [provided by RefSeq, Jul 2008]	Maturity onset diabetes mellitus in young	criteria provided, single submitter	Likely benign	358789	https://www.ncbi.nlm.nih.gov/clinvar/variation/358789	rs327519 is located in chr7 chromosome with position 127610662 which is in the gene PAX4. This gene has the following description: This gene is a member of the paired box (PAX) family of transcription factors. Members of this gene family typically contain a paired box domain, an octapeptide, and a paired-type homeodomain. These genes play critical roles during fetal development and cancer growth. The paired box 4 gene is involved in pancreatic islet development and mouse studies have demonstrated a role for this gene in differentiation of insulin-producing beta cells. [provided by RefSeq, Jul 2008] This SNP can be associated with Maturity onset diabetes mellitus in young. Those associations have Likely benign clinical significance and have review status: criteria provided, single submitter. rs327519has the following disease references: Human Phenotype Ontology:HP:0004904,MONDO:MONDO:0018911,MedGen:C0342276,OMIM:606391,Orphanet:ORPHA552,SNOMED CT:28453007. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/358789
rs712700	chr7	127610853	PAX4	This gene is a member of the paired box (PAX) family of transcription factors. Members of this gene family typically contain a paired box domain, an octapeptide, and a paired-type homeodomain. These genes play critical roles during fetal development and cancer growth. The paired box 4 gene is involved in pancreatic islet development and mouse studies have demonstrated a role for this gene in differentiation of insulin-producing beta cells. [provided by RefSeq, Jul 2008]	Maturity onset diabetes mellitus in young|Type 2 diabetes mellitus|not provided	criteria provided, multiple submitters, no conflicts	Benign	358791	https://www.ncbi.nlm.nih.gov/clinvar/variation/358791	rs712700 is located in chr7 chromosome with position 127610853 which is in the gene PAX4. This gene has the following description: This gene is a member of the paired box (PAX) family of transcription factors. Members of this gene family typically contain a paired box domain, an octapeptide, and a paired-type homeodomain. These genes play critical roles during fetal development and cancer growth. The paired box 4 gene is involved in pancreatic islet development and mouse studies have demonstrated a role for this gene in differentiation of insulin-producing beta cells. [provided by RefSeq, Jul 2008] This SNP can be associated with Maturity onset diabetes mellitus in young|Type 2 diabetes mellitus|not provided. Those associations have Benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs712700has the following disease references: Human Phenotype Ontology:HP:0004904,MONDO:MONDO:0018911,MedGen:C0342276,OMIM:606391,Orphanet:ORPHA552,SNOMED CT:28453007|Human Phenotype Ontology:HP:0005965,Human Phenotype Ontology:HP:0005978,Human Phenotype Ontology:HP:0100652,MONDO:MONDO:0005148,MeSH:D003924,MedGen:C0011860,OMIM:125853,SNOMED CT:44054006|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/358791
rs327517	chr7	127613775	PAX4	This gene is a member of the paired box (PAX) family of transcription factors. Members of this gene family typically contain a paired box domain, an octapeptide, and a paired-type homeodomain. These genes play critical roles during fetal development and cancer growth. The paired box 4 gene is involved in pancreatic islet development and mouse studies have demonstrated a role for this gene in differentiation of insulin-producing beta cells. [provided by RefSeq, Jul 2008]	Maturity onset diabetes mellitus in young|not specified|not provided	criteria provided, multiple submitters, no conflicts	Benign/Likely benign	129877	https://www.ncbi.nlm.nih.gov/clinvar/variation/129877	rs327517 is located in chr7 chromosome with position 127613775 which is in the gene PAX4. This gene has the following description: This gene is a member of the paired box (PAX) family of transcription factors. Members of this gene family typically contain a paired box domain, an octapeptide, and a paired-type homeodomain. These genes play critical roles during fetal development and cancer growth. The paired box 4 gene is involved in pancreatic islet development and mouse studies have demonstrated a role for this gene in differentiation of insulin-producing beta cells. [provided by RefSeq, Jul 2008] This SNP can be associated with Maturity onset diabetes mellitus in young|not specified|not provided. Those associations have Benign/Likely benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs327517has the following disease references: Human Phenotype Ontology:HP:0004904,MONDO:MONDO:0018911,MedGen:C0342276,OMIM:606391,Orphanet:ORPHA552,SNOMED CT:28453007|MedGen:CN169374|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/129877
rs3024239	chr8	31141606	WRN	This gene encodes a member of the RecQ subfamily of DNA helicase proteins. The encoded nuclear protein is important in the maintenance of genome stability and plays a role in DNA repair, replication, transcription and telomere maintenance. This protein contains a N-terminal 3&apos; to 5&apos; exonuclease domain, an ATP-dependent helicase domain and RQC (RecQ helicase conserved region) domain in its central region, and a C-terminal HRDC (helicase RNase D C-terminal) domain and nuclear localization signal. Defects in this gene are the cause of Werner syndrome, an autosomal recessive disorder characterized by accelerated aging and an elevated risk for certain cancers. [provided by RefSeq, Aug 2017]	Werner syndrome|not specified|not provided	criteria provided, multiple submitters, no conflicts	Benign	130754	https://www.ncbi.nlm.nih.gov/clinvar/variation/130754	rs3024239 is located in chr8 chromosome with position 31141606 which is in the gene WRN. This gene has the following description: This gene encodes a member of the RecQ subfamily of DNA helicase proteins. The encoded nuclear protein is important in the maintenance of genome stability and plays a role in DNA repair, replication, transcription and telomere maintenance. This protein contains a N-terminal 3&apos; to 5&apos; exonuclease domain, an ATP-dependent helicase domain and RQC (RecQ helicase conserved region) domain in its central region, and a C-terminal HRDC (helicase RNase D C-terminal) domain and nuclear localization signal. Defects in this gene are the cause of Werner syndrome, an autosomal recessive disorder characterized by accelerated aging and an elevated risk for certain cancers. [provided by RefSeq, Aug 2017] This SNP can be associated with Werner syndrome|not specified|not provided. Those associations have Benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs3024239has the following disease references: MONDO:MONDO:0010196,MedGen:C0043119,OMIM:277700,Orphanet:ORPHA902,SNOMED CT:51626007|MedGen:CN169374|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/130754
rs4647992	chr4	102534190	NFKB1	This gene encodes a 105 kD protein which can undergo cotranslational processing by the 26S proteasome to produce a 50 kD protein. The 105 kD protein is a Rel protein-specific transcription inhibitor and the 50 kD protein is a DNA binding subunit of the NF-kappa-B (NFKB) protein complex. NFKB is a transcription regulator that is activated by various intra- and extra-cellular stimuli such as cytokines, oxidant-free radicals, ultraviolet irradiation, and bacterial or viral products. Activated NFKB translocates into the nucleus and stimulates the expression of genes involved in a wide variety of biological functions. Inappropriate activation of NFKB has been associated with a number of inflammatory diseases while persistent inhibition of NFKB leads to inappropriate immune cell development or delayed cell growth. NFKB is a critical regulator of the immediate-early response to viral infection. Alternative splicing results in multiple transcript variants encoding different isoforms, at least one of which is proteolytically processed. [provided by RefSeq, Aug 2020]	not provided	criteria provided, single submitter	Benign	1274917	https://www.ncbi.nlm.nih.gov/clinvar/variation/1274917	rs4647992 is located in chr4 chromosome with position 102534190 which is in the gene NFKB1. This gene has the following description: This gene encodes a 105 kD protein which can undergo cotranslational processing by the 26S proteasome to produce a 50 kD protein. The 105 kD protein is a Rel protein-specific transcription inhibitor and the 50 kD protein is a DNA binding subunit of the NF-kappa-B (NFKB) protein complex. NFKB is a transcription regulator that is activated by various intra- and extra-cellular stimuli such as cytokines, oxidant-free radicals, ultraviolet irradiation, and bacterial or viral products. Activated NFKB translocates into the nucleus and stimulates the expression of genes involved in a wide variety of biological functions. Inappropriate activation of NFKB has been associated with a number of inflammatory diseases while persistent inhibition of NFKB leads to inappropriate immune cell development or delayed cell growth. NFKB is a critical regulator of the immediate-early response to viral infection. Alternative splicing results in multiple transcript variants encoding different isoforms, at least one of which is proteolytically processed. [provided by RefSeq, Aug 2020] This SNP can be associated with not provided. Those associations have Benign clinical significance and have review status: criteria provided, single submitter. rs4647992has the following disease references: MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/1274917
rs2280789	chr17	35879999	CCL5	This gene is one of several chemokine genes clustered on the q-arm of chromosome 17. Chemokines form a superfamily of secreted proteins involved in immunoregulatory and inflammatory processes. The superfamily is divided into four subfamilies based on the arrangement of the N-terminal cysteine residues of the mature peptide. This chemokine, a member of the CC subfamily, functions as a chemoattractant for blood monocytes, memory T helper cells and eosinophils. It causes the release of histamine from basophils and activates eosinophils. This cytokine is one of the major HIV-suppressive factors produced by CD8+ cells. It functions as one of the natural ligands for the chemokine receptor chemokine (C-C motif) receptor 5 (CCR5), and it suppresses in vitro replication of the R5 strains of HIV-1, which use CCR5 as a coreceptor. Alternative splicing results in multiple transcript variants that encode different isoforms. [provided by RefSeq, Jul 2013]	Human immunodeficiency virus type 1, rapid disease progression with infection by	no assertion criteria provided	Pathogenic	12740	https://www.ncbi.nlm.nih.gov/clinvar/variation/12740	rs2280789 is located in chr17 chromosome with position 35879999 which is in the gene CCL5. This gene has the following description: This gene is one of several chemokine genes clustered on the q-arm of chromosome 17. Chemokines form a superfamily of secreted proteins involved in immunoregulatory and inflammatory processes. The superfamily is divided into four subfamilies based on the arrangement of the N-terminal cysteine residues of the mature peptide. This chemokine, a member of the CC subfamily, functions as a chemoattractant for blood monocytes, memory T helper cells and eosinophils. It causes the release of histamine from basophils and activates eosinophils. This cytokine is one of the major HIV-suppressive factors produced by CD8+ cells. It functions as one of the natural ligands for the chemokine receptor chemokine (C-C motif) receptor 5 (CCR5), and it suppresses in vitro replication of the R5 strains of HIV-1, which use CCR5 as a coreceptor. Alternative splicing results in multiple transcript variants that encode different isoforms. [provided by RefSeq, Jul 2013] This SNP can be associated with Human immunodeficiency virus type 1, rapid disease progression with infection by. Those associations have Pathogenic clinical significance and have review status: no assertion criteria provided. rs2280789has the following disease references: MedGen:C4016387. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/12740
rs28940579	chr16	3243310	MEFV	This gene encodes a protein, also known as pyrin or marenostrin, that is an important modulator of innate immunity. Mutations in this gene are associated with Mediterranean fever, a hereditary periodic fever syndrome. [provided by RefSeq, Jul 2008]	Familial Mediterranean fever, autosomal dominant|Acute febrile neutrophilic dermatosis|Familial Mediterranean fever|Inborn genetic diseases|not provided	criteria provided, multiple submitters, no conflicts	Pathogenic/Likely pathogenic	2540	https://www.ncbi.nlm.nih.gov/clinvar/variation/2540	rs28940579 is located in chr16 chromosome with position 3243310 which is in the gene MEFV. This gene has the following description: This gene encodes a protein, also known as pyrin or marenostrin, that is an important modulator of innate immunity. Mutations in this gene are associated with Mediterranean fever, a hereditary periodic fever syndrome. [provided by RefSeq, Jul 2008] This SNP can be associated with Familial Mediterranean fever, autosomal dominant|Acute febrile neutrophilic dermatosis|Familial Mediterranean fever|Inborn genetic diseases|not provided. Those associations have Pathogenic/Likely pathogenic clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs28940579has the following disease references: MONDO:MONDO:0007601,MedGen:C1851347,OMIM:134610|MONDO:MONDO:0011959,MedGen:C0085077,OMIM:608068,Orphanet:ORPHA3243,SNOMED CT:84625002|MONDO:MONDO:0018088,MedGen:C0031069,OMIM:249100,Orphanet:ORPHA342,SNOMED CT:12579009|MeSH:D030342,MedGen:C0950123|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/2540
rs13181	chr19	45351661	ERCC2	The nucleotide excision repair pathway is a mechanism to repair damage to DNA. The protein encoded by this gene is involved in transcription-coupled nucleotide excision repair and is an integral member of the basal transcription factor BTF2/TFIIH complex. The gene product has ATP-dependent DNA helicase activity and belongs to the RAD3/XPD subfamily of helicases. Defects in this gene can result in three different disorders, the cancer-prone syndrome xeroderma pigmentosum complementation group D, trichothiodystrophy, and Cockayne syndrome. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2008]	not provided	criteria provided, single submitter	Uncertain significance	1396699	https://www.ncbi.nlm.nih.gov/clinvar/variation/1396699	rs13181 is located in chr19 chromosome with position 45351661 which is in the gene ERCC2. This gene has the following description: The nucleotide excision repair pathway is a mechanism to repair damage to DNA. The protein encoded by this gene is involved in transcription-coupled nucleotide excision repair and is an integral member of the basal transcription factor BTF2/TFIIH complex. The gene product has ATP-dependent DNA helicase activity and belongs to the RAD3/XPD subfamily of helicases. Defects in this gene can result in three different disorders, the cancer-prone syndrome xeroderma pigmentosum complementation group D, trichothiodystrophy, and Cockayne syndrome. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2008] This SNP can be associated with not provided. Those associations have Uncertain significance clinical significance and have review status: criteria provided, single submitter. rs13181has the following disease references: MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/1396699
rs13181	chr19	45351661	ERCC2	The nucleotide excision repair pathway is a mechanism to repair damage to DNA. The protein encoded by this gene is involved in transcription-coupled nucleotide excision repair and is an integral member of the basal transcription factor BTF2/TFIIH complex. The gene product has ATP-dependent DNA helicase activity and belongs to the RAD3/XPD subfamily of helicases. Defects in this gene can result in three different disorders, the cancer-prone syndrome xeroderma pigmentosum complementation group D, trichothiodystrophy, and Cockayne syndrome. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2008]	Non-small cell lung carcinoma|Bone osteosarcoma|Xeroderma pigmentosum, group D|Trichothiodystrophy 1, photosensitive|Cerebrooculofacioskeletal syndrome 2|not specified|not provided	criteria provided, multiple submitters, no conflicts	Benign/Likely benign	134105	https://www.ncbi.nlm.nih.gov/clinvar/variation/134105	rs13181 is located in chr19 chromosome with position 45351661 which is in the gene ERCC2. This gene has the following description: The nucleotide excision repair pathway is a mechanism to repair damage to DNA. The protein encoded by this gene is involved in transcription-coupled nucleotide excision repair and is an integral member of the basal transcription factor BTF2/TFIIH complex. The gene product has ATP-dependent DNA helicase activity and belongs to the RAD3/XPD subfamily of helicases. Defects in this gene can result in three different disorders, the cancer-prone syndrome xeroderma pigmentosum complementation group D, trichothiodystrophy, and Cockayne syndrome. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2008] This SNP can be associated with Non-small cell lung carcinoma|Bone osteosarcoma|Xeroderma pigmentosum, group D|Trichothiodystrophy 1, photosensitive|Cerebrooculofacioskeletal syndrome 2|not specified|not provided. Those associations have Benign/Likely benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs13181has the following disease references: Human Phenotype Ontology:HP:0030358,MONDO:MONDO:0005233,MeSH:D002289,MedGen:C0007131,SNOMED CT:254637007|MONDO:MONDO:0002629,MeSH:D012516,MedGen:C0585442,OMIM:259500,Orphanet:ORPHA668|MONDO:MONDO:0010212,MedGen:C0268138,OMIM:278730,SNOMED CT:68637004|MONDO:MONDO:0011125,MedGen:C1866504,OMIM:601675,Orphanet:ORPHA670|MONDO:MONDO:0012553,MedGen:C1853102,OMIM:610756|MedGen:CN169374|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/134105
rs28933981	chr18	31598647	TTR	This gene encodes one of the three prealbumins, which include alpha-1-antitrypsin, transthyretin and orosomucoid. The encoded protein, transthyretin, is a homo-tetrameric carrier protein, which transports thyroid hormones in the plasma and cerebrospinal fluid. It is also involved in the transport of retinol (vitamin A) in the plasma by associating with retinol-binding protein. The protein may also be involved in other intracellular processes including proteolysis, nerve regeneration, autophagy and glucose homeostasis. Mutations in this gene are associated with amyloid deposition, predominantly affecting peripheral nerves or the heart, while a small percentage of the gene mutations are non-amyloidogenic. The mutations are implicated in the etiology of several diseases, including amyloidotic polyneuropathy, euthyroid hyperthyroxinaemia, amyloidotic vitreous opacities, cardiomyopathy, oculoleptomeningeal amyloidosis, meningocerebrovascular amyloidosis and carpal tunnel syndrome. [provided by RefSeq, Aug 2017]	AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED, MODIFIER OF|Cardiomyopathy|Amyloidogenic transthyretin amyloidosis|Charcot-Marie-Tooth disease|not specified|Cardiovascular phenotype|not provided	criteria provided, conflicting interpretations	Conflicting interpretations of pathogenicity	13434	https://www.ncbi.nlm.nih.gov/clinvar/variation/13434	rs28933981 is located in chr18 chromosome with position 31598647 which is in the gene TTR. This gene has the following description: This gene encodes one of the three prealbumins, which include alpha-1-antitrypsin, transthyretin and orosomucoid. The encoded protein, transthyretin, is a homo-tetrameric carrier protein, which transports thyroid hormones in the plasma and cerebrospinal fluid. It is also involved in the transport of retinol (vitamin A) in the plasma by associating with retinol-binding protein. The protein may also be involved in other intracellular processes including proteolysis, nerve regeneration, autophagy and glucose homeostasis. Mutations in this gene are associated with amyloid deposition, predominantly affecting peripheral nerves or the heart, while a small percentage of the gene mutations are non-amyloidogenic. The mutations are implicated in the etiology of several diseases, including amyloidotic polyneuropathy, euthyroid hyperthyroxinaemia, amyloidotic vitreous opacities, cardiomyopathy, oculoleptomeningeal amyloidosis, meningocerebrovascular amyloidosis and carpal tunnel syndrome. [provided by RefSeq, Aug 2017] This SNP can be associated with AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED, MODIFIER OF|Cardiomyopathy|Amyloidogenic transthyretin amyloidosis|Charcot-Marie-Tooth disease|not specified|Cardiovascular phenotype|not provided. Those associations have Conflicting interpretations of pathogenicity clinical significance and have review status: criteria provided, conflicting interpretations. rs28933981has the following disease references: .|Human Phenotype Ontology:HP:0001638,MONDO:MONDO:0004994,MedGen:C0878544,Orphanet:ORPHA167848,SNOMED CT:85898001|MONDO:MONDO:0007100,MedGen:C2751492,OMIM:105210,Orphanet:ORPHA85447,SNOMED CT:43532007,SNOMED CT:442012008|MONDO:MONDO:0015626,MedGen:C0007959,OMIM:PS118220,Orphanet:ORPHA166,SNOMED CT:50548001|MedGen:CN169374|MedGen:CN230736|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/13434
rs11548670	chr2	206147759	NDUFS1	The protein encoded by this gene belongs to the complex I 75 kDa subunit family. Mammalian complex I is composed of 45 different subunits. It locates at the mitochondrial inner membrane. This protein has NADH dehydrogenase activity and oxidoreductase activity. It transfers electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. This protein is the largest subunit of complex I and it is a component of the iron-sulfur (IP) fragment of the enzyme. It may form part of the active site crevice where NADH is oxidized. Mutations in this gene are associated with complex I deficiency. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2011]	Leigh syndrome|Mitochondrial complex I deficiency, nuclear type 1|not specified|not provided	criteria provided, multiple submitters, no conflicts	Benign/Likely benign	138473	https://www.ncbi.nlm.nih.gov/clinvar/variation/138473	rs11548670 is located in chr2 chromosome with position 206147759 which is in the gene NDUFS1. This gene has the following description: The protein encoded by this gene belongs to the complex I 75 kDa subunit family. Mammalian complex I is composed of 45 different subunits. It locates at the mitochondrial inner membrane. This protein has NADH dehydrogenase activity and oxidoreductase activity. It transfers electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. This protein is the largest subunit of complex I and it is a component of the iron-sulfur (IP) fragment of the enzyme. It may form part of the active site crevice where NADH is oxidized. Mutations in this gene are associated with complex I deficiency. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2011] This SNP can be associated with Leigh syndrome|Mitochondrial complex I deficiency, nuclear type 1|not specified|not provided. Those associations have Benign/Likely benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs11548670has the following disease references: MONDO:MONDO:0009723,MedGen:C0023264,OMIM:256000,Orphanet:ORPHA506,SNOMED CT:29570005|MONDO:MONDO:0100224,MedGen:CN257533,OMIM:252010|MedGen:CN169374|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/138473
rs1800471	chr19	41352971	TGFB1	This gene encodes a secreted ligand of the TGF-beta (transforming growth factor-beta) superfamily of proteins. Ligands of this family bind various TGF-beta receptors leading to recruitment and activation of SMAD family transcription factors that regulate gene expression. The encoded preproprotein is proteolytically processed to generate a latency-associated peptide (LAP) and a mature peptide, and is found in either a latent form composed of a mature peptide homodimer, a LAP homodimer, and a latent TGF-beta binding protein, or in an active form consisting solely of the mature peptide homodimer. The mature peptide may also form heterodimers with other TGFB family members. This encoded protein regulates cell proliferation, differentiation and growth, and can modulate expression and activation of other growth factors including interferon gamma and tumor necrosis factor alpha. This gene is frequently upregulated in tumor cells, and mutations in this gene result in Camurati-Engelmann disease. [provided by RefSeq, Aug 2016]	not specified|not provided	criteria provided, multiple submitters, no conflicts	Benign	38902	https://www.ncbi.nlm.nih.gov/clinvar/variation/38902	rs1800471 is located in chr19 chromosome with position 41352971 which is in the gene TGFB1. This gene has the following description: This gene encodes a secreted ligand of the TGF-beta (transforming growth factor-beta) superfamily of proteins. Ligands of this family bind various TGF-beta receptors leading to recruitment and activation of SMAD family transcription factors that regulate gene expression. The encoded preproprotein is proteolytically processed to generate a latency-associated peptide (LAP) and a mature peptide, and is found in either a latent form composed of a mature peptide homodimer, a LAP homodimer, and a latent TGF-beta binding protein, or in an active form consisting solely of the mature peptide homodimer. The mature peptide may also form heterodimers with other TGFB family members. This encoded protein regulates cell proliferation, differentiation and growth, and can modulate expression and activation of other growth factors including interferon gamma and tumor necrosis factor alpha. This gene is frequently upregulated in tumor cells, and mutations in this gene result in Camurati-Engelmann disease. [provided by RefSeq, Aug 2016] This SNP can be associated with not specified|not provided. Those associations have Benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs1800471has the following disease references: MedGen:CN169374|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/38902
rs1056836	chr2	38071060	CYP1B1	This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. The enzyme encoded by this gene localizes to the endoplasmic reticulum and metabolizes procarcinogens such as polycyclic aromatic hydrocarbons and 17beta-estradiol. Mutations in this gene have been associated with primary congenital glaucoma; therefore it is thought that the enzyme also metabolizes a signaling molecule involved in eye development, possibly a steroid. [provided by RefSeq, Jul 2008]	Congenital glaucoma|not specified	criteria provided, multiple submitters, no conflicts	Benign	456637	https://www.ncbi.nlm.nih.gov/clinvar/variation/456637	rs1056836 is located in chr2 chromosome with position 38071060 which is in the gene CYP1B1. This gene has the following description: This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. The enzyme encoded by this gene localizes to the endoplasmic reticulum and metabolizes procarcinogens such as polycyclic aromatic hydrocarbons and 17beta-estradiol. Mutations in this gene have been associated with primary congenital glaucoma; therefore it is thought that the enzyme also metabolizes a signaling molecule involved in eye development, possibly a steroid. [provided by RefSeq, Jul 2008] This SNP can be associated with Congenital glaucoma|not specified. Those associations have Benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs1056836has the following disease references: MONDO:MONDO:0020366,MedGen:C0020302,Orphanet:ORPHA98976,SNOMED CT:204113001|MedGen:CN169374. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/456637
rs1800592	chr4	140572807	UCP1	Mitochondrial uncoupling proteins (UCP) are members of the family of mitochondrial anion carrier proteins (MACP). UCPs separate oxidative phosphorylation from ATP synthesis with energy dissipated as heat, also referred to as the mitochondrial proton leak. UCPs facilitate the transfer of anions from the inner to the outer mitochondrial membrane and the return transfer of protons from the outer to the inner mitochondrial membrane. They also reduce the mitochondrial membrane potential in mammalian cells. Tissue specificity occurs for the different UCPs and the exact methods of how UCPs transfer H+/OH- are not known. UCPs contain the three homologous protein domains of MACPs. This gene is expressed only in brown adipose tissue, a specialized tissue which functions to produce heat. [provided by RefSeq, Jul 2008]	UCP1 POLYMORPHISM	no assertion criteria provided	Benign	17659	https://www.ncbi.nlm.nih.gov/clinvar/variation/17659	
